_id,stop_name,stop_lat,stop_lon,location_type,parent_station,zone_id,wheelchair_boarding,operator,rail,MFL,BSS,NHSL,PATCO
PATCO240,Lindenwold,39.83389,-75.00056,,,,1,PATCO,1,,,,1
PATCO241,Ashland (Voorhees),39.85856,-75.009199,,,,,PATCO,1,,,,1
PATCO242,Woodcrest/Cherry Hill,39.8695145128,-75.0106787682,,,,1,PATCO,1,,,,1
PATCO243,Haddonfield,39.8970285235,-75.0366640091,,,,,PATCO,1,,,,1
PATCO244,Westmont (Haddon Twp),39.907117,-75.046775,,,,,PATCO,1,,,,1
PATCO245,Collingswood,39.913561,-75.064561,,,,,PATCO,1,,,,1
PATCO246,Ferry Ave (Camden),39.922852992,-75.091906786,,,,1,PATCO,1,,,,1
PATCO247,Broadway (Camden),39.94319792,-75.1202845573,,,,1,PATCO,1,,,,1
PATCO248,City Hall (Camden),39.9450733307,-75.1211535931,,,,,PATCO,1,,,,1
PATCO249,8th & Market St,39.951181,-75.1532,,,,1,PATCO,1,,,,1
PATCO250,9-10th & Locust St,39.9472365695,-75.1568698883,,,,1,PATCO,1,,,,1
PATCO251,12-13th & Locust St,39.947731,-75.160797,,,,,PATCO,1,,,,1
PATCO252,15-16th & Locust St,39.948417,-75.166208,,,,1,PATCO,1,,,,1
60,Allegheny Station,39.996444,-75.113345,,,1,1,SEPTA,1,1,,,
61,Frankford Transportation Center,40.023427,-75.077197,,,1,1,SEPTA,1,1,,,
82,Olney Transportation Center,40.039066,-75.144737,,,1,1,SEPTA,1,,1,,
140,Erie Station,40.009172,-75.151226,,,1,,SEPTA,1,,1,,
142,Allegheny Station,40.001536,-75.152887,,,1,1,SEPTA,1,,1,,
152,A T and T Station,39.905379,-75.173709,,,1,1,SEPTA,1,,1,,
217,Margaret & Orthodox Station,40.016734,-75.083955,,,1,,SEPTA,1,1,,,
353,Girard Station,39.968841,-75.13611,,,1,1,SEPTA,1,1,,,
